etf,start_week,last_seen_week,end_week,duration_weeks,status,resolution_type
XLK,2026_W13,2026_W14,2026_W14,1,resolved,HH/HL
XLV,2026_W13,2026_W15,,3,ongoing,
XLP,2026_W13,2026_W15,2026_W15,2,resolved,LH/LL
XLF,2026_W13,2026_W14,2026_W14,1,resolved,LH/LL
XLC,2026_W13,2026_W14,2026_W14,1,resolved,LH/LL
XLY,2026_W14,2026_W15,2026_W15,1,resolved,LH/LL
XLI,2026_W14,2026_W15,,2,ongoing,
XLB,2026_W14,2026_W15,,2,ongoing,
XLE,2026_W14,2026_W15,2026_W15,1,resolved,LH/LL
XLU,2026_W14,2026_W15,2026_W15,1,resolved,LH/LL
XLF,2026_W15,2026_W15,,1,ongoing,
XLRE,2026_W15,2026_W15,,1,ongoing,
