Rank,Ticker,Ret_4W,Ret_5D,Direction,Leadership
1,XLU,0.107440,0.007245,HH/HL,Persistent Leader
2,XLE,0.091161,0.012406,HH/HL,Persistent Leader
3,XLRE,0.049145,-0.003126,TRANSITION,Fading
4,XLC,0.042209,0.017272,HH/HL,Emerging Leader
5,XLI,0.007912,-0.030306,HH/HL,Emerging Leader
6,XLP,0.001900,-0.012890,LH/LL,Weak
7,XLK,-0.000822,0.004363,LH/LL,Weak
8,XLY,-0.003775,0.012149,TRANSITION,Neutral
9,XLV,-0.005500,-0.016717,HH/HL,Emerging Leader
10,XLB,-0.005779,-0.044173,LH/LL,Weak
11,XLF,-0.042728,0.006288,LH/LL,Weak
