Date,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,XLC,XLRE
2026-02-20,0.076817,0.079602,0.076135,0.257067,0.204343,0.127482,0.067200,0.227463,0.170358,0.169415,0.063183
2026-02-23,0.077610,0.080819,0.074342,0.256202,0.202992,0.130380,0.068407,0.232330,0.168511,0.169053,0.063908
2026-02-24,0.077631,0.080163,0.074169,0.257482,0.204146,0.130559,0.068670,0.229679,0.169841,0.168997,0.063621
2026-02-25,0.076549,0.079160,0.074832,0.253336,0.206319,0.128414,0.068326,0.227700,0.168924,0.168073,0.062670
2026-02-26,0.076890,0.079864,0.076164,0.256347,0.204570,0.128913,0.068446,0.228377,0.169810,0.169331,0.063296
2026-02-27,0.077858,0.081517,0.074972,0.258225,0.202277,0.131212,0.069578,0.233531,0.170352,0.172087,0.063908
2026-03-02,0.077581,0.083103,0.074740,0.260643,0.203298,0.129243,0.069014,0.230965,0.168158,0.171727,0.063988
2026-03-03,0.076345,0.083077,0.075272,0.257875,0.202108,0.128967,0.069187,0.230388,0.168095,0.173386,0.064234
2026-03-04,0.075781,0.082014,0.075168,0.256842,0.204107,0.127217,0.068994,0.229227,0.169880,0.173383,0.063871
2026-03-05,0.074606,0.082899,0.075193,0.252543,0.205751,0.125361,0.068838,0.225903,0.171068,0.173842,0.063613
2026-03-06,0.074154,0.084134,0.075210,0.252744,0.204185,0.127577,0.069514,0.227104,0.170201,0.174693,0.063788
2026-03-09,0.073702,0.083035,0.074203,0.252024,0.206054,0.126749,0.069073,0.227432,0.168945,0.173323,0.063367
2026-03-10,0.073658,0.082105,0.073924,0.251071,0.206385,0.126584,0.068756,0.226158,0.168995,0.173336,0.063380
2026-03-11,0.073692,0.084249,0.073396,0.250603,0.207635,0.125072,0.068265,0.225999,0.168764,0.172992,0.062706
2026-03-12,0.074588,0.086344,0.073312,0.248086,0.206948,0.126490,0.069814,0.225445,0.167432,0.173062,0.063268
2026-03-13,0.074273,0.087122,0.073820,0.248607,0.206556,0.127950,0.070905,0.226170,0.167389,0.172809,0.063794
2026-03-16,0.073838,0.086543,0.073689,0.248210,0.207435,0.127020,0.070640,0.225715,0.167705,0.172384,0.063644
2026-03-17,0.073823,0.087226,0.073883,0.248215,0.208023,0.126269,0.070260,0.223080,0.168726,0.171991,0.063686
2026-03-18,0.073296,0.088339,0.074037,0.249732,0.208578,0.124941,0.070650,0.222457,0.167168,0.171840,0.063529
2026-03-19,0.072355,0.089967,0.074250,0.248651,0.209806,0.124235,0.070537,0.222204,0.166263,0.171476,0.063534
2026-03-20,0.072436,0.091447,0.075674,0.249271,0.208597,0.125337,0.068844,0.224078,0.166119,0.173042,0.062584
2026-03-23,0.072553,0.090985,0.075178,0.248787,0.208963,0.123867,0.068327,0.220895,0.168025,0.171977,0.061979
2026-03-24,0.074176,0.093144,0.075446,0.251079,0.208442,0.124177,0.069032,0.221669,0.167917,0.170137,0.061683
2026-03-25,0.075226,0.092217,0.075120,0.251363,0.208215,0.124098,0.068893,0.222649,0.168585,0.169666,0.061311
2026-03-26,0.076098,0.095367,0.076036,0.249996,0.205398,0.125781,0.070269,0.225922,0.168705,0.168674,0.062456
2026-03-27,0.077134,0.098661,0.075399,0.251068,0.204892,0.128972,0.071898,0.225930,0.166664,0.168809,0.063098
2026-03-30,0.077678,0.098043,0.076523,0.247812,0.201750,0.129563,0.072662,0.227574,0.167191,0.170831,0.063626
2026-03-31,0.076837,0.094197,0.075914,0.248685,0.204355,0.126057,0.070563,0.225436,0.167574,0.170465,0.062783
2026-04-01,0.077010,0.089998,0.075453,0.250946,0.205894,0.124321,0.070371,0.225459,0.167572,0.169770,0.062496
2026-04-02,0.076864,0.090344,0.075523,0.249714,0.207356,0.124865,0.070659,0.223854,0.164906,0.170319,0.063446
